activity_type,is_doing
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Sitting On Water,TRUE
Following Ship,TRUE
Following Ship,TRUE
Feeding,TRUE
Accompanying,TRUE
Following Ship,TRUE
Following Ship,TRUE
Accompanying,TRUE
Feeding,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Accompanying,TRUE
Accompanying,TRUE
Feeding,TRUE
Sitting On Water,TRUE
Naturally Feeding,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Flying Past,TRUE
Accompanying,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Flying Past,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Following Ship,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Flying Past,TRUE
Flying Past,TRUE
Flying Past,TRUE
Flying Past,TRUE
Following Ship,TRUE
Flying Past,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Flying Past,TRUE
Accompanying,TRUE
Accompanying,TRUE
Following Ship,TRUE
Flying Past,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Flying Past,TRUE
Flying Past,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Accompanying,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Accompanying,TRUE
Flying Past,TRUE
Accompanying,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Flying Past,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Sitting On Ship,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Flying Past,TRUE
Accompanying,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Flying Past,TRUE
Flying Past,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Flying Past,TRUE
Following Ship,TRUE
Following Ship,TRUE
Flying Past,TRUE
Flying Past,TRUE
Accompanying,TRUE
Accompanying,TRUE
Flying Past,TRUE
Flying Past,TRUE
Accompanying,TRUE
Flying Past,TRUE
Flying Past,TRUE
Flying Past,TRUE
Flying Past,TRUE
Feeding,TRUE
Naturally Feeding,TRUE
Accompanying,TRUE
Feeding,TRUE
Flying Past,TRUE
Naturally Feeding,TRUE
Feeding,TRUE
Flying Past,TRUE
Naturally Feeding,TRUE
Flying Past,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Accompanying,TRUE
Sitting On Water,TRUE
Accompanying,TRUE
Accompanying,TRUE
Accompanying,TRUE
